VIN (1-10),State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,charge_freq
1C4JJXR6XN,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,22,0,19
1C4RJYB64N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYB66N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,2
1C4RJYB67N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,2
1C4RJYB68N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,2
1C4RJYB69N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYC60N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYC61N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,2
1C4RJYC62N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYC64N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYC65N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYC66N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYC68N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,2
1C4RJYC6XN,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYD60N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,2
1C4RJYD61N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYD66N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYD6XN,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYE60N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,2
1C4RJYE61N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,3
1C4RJYE62N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYE63N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYE64N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,1
1C4RJYE66N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,3
1C4RJYE67N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,2
1C4RJYE68N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,5
1C4RJYE69N,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,3
1C4RJYE6XN,Wa,2022,Jeep,Grand cherokee,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,3
1FADP3R40D,Wa,2013,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,11
1FADP3R40E,Wa,2014,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,5
1FADP3R40F,Wa,2015,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,3
1FADP3R40G,Wa,2016,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,4
1FADP3R40H,Wa,2017,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,4
1FADP3R41D,Wa,2013,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,10
1FADP3R41E,Wa,2014,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,8
1FADP3R41F,Wa,2015,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,6
1FADP3R41G,Wa,2016,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,2
1FADP3R41H,Wa,2017,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,3
1FADP3R41J,Wa,2018,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,1
1FADP3R42D,Wa,2013,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,6
1FADP3R42E,Wa,2014,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,5
1FADP3R42F,Wa,2015,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,5
1FADP3R42G,Wa,2016,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,1
1FADP3R42H,Wa,2017,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,3
1FADP3R43D,Wa,2013,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,7
1FADP3R43E,Wa,2014,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,5
1FADP3R43F,Wa,2015,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,3
1FADP3R43G,Wa,2016,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,2
1FADP3R43J,Wa,2018,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,2
1FADP3R44D,Wa,2013,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,6
1FADP3R44E,Wa,2014,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,4
1FADP3R44F,Wa,2015,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,2
1FADP3R44G,Wa,2016,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,6
1FADP3R44H,Wa,2017,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,2
1FADP3R44J,Wa,2018,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,1
1FADP3R45D,Wa,2013,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,4
1FADP3R45E,Wa,2014,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,7
1FADP3R45F,Wa,2015,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,2
1FADP3R45G,Wa,2016,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,3
1FADP3R45J,Wa,2018,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,1
1FADP3R46D,Wa,2013,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,8
1FADP3R46E,Wa,2014,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,3
1FADP3R46F,Wa,2015,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,3
1FADP3R46G,Wa,2016,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,3
1FADP3R46H,Wa,2017,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,3
1FADP3R47D,Wa,2013,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,8
1FADP3R47E,Wa,2014,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,9
1FADP3R47F,Wa,2015,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,4
1FADP3R47G,Wa,2016,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,1
1FADP3R47H,Wa,2017,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,5
1FADP3R48D,Wa,2013,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,7
1FADP3R48E,Wa,2014,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,5
1FADP3R48F,Wa,2015,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,6
1FADP3R48G,Wa,2016,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,6
1FADP3R48H,Wa,2017,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,3
1FADP3R48J,Wa,2018,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,1
1FADP3R49D,Wa,2013,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,5
1FADP3R49E,Wa,2014,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,2
1FADP3R49F,Wa,2015,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,1
1FADP3R49G,Wa,2016,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,2
1FADP3R49H,Wa,2017,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,1
1FADP3R49J,Wa,2018,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,1
1FADP3R4XD,Wa,2013,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,9
1FADP3R4XE,Wa,2014,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,4
1FADP3R4XF,Wa,2015,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,4
1FADP3R4XG,Wa,2016,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,76,0,5
1FADP3R4XH,Wa,2017,Ford,Focus,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,100,0,4
1FADP5CU0D,Wa,2013,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,30
1FADP5CU0E,Wa,2014,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,35
1FADP5CU0F,Wa,2015,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,27
1FADP5CU0G,Wa,2016,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,25
1FADP5CU1D,Wa,2013,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,38
1FADP5CU1E,Wa,2014,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,26
1FADP5CU1F,Wa,2015,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,23
1FADP5CU1G,Wa,2016,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,28
1FADP5CU2D,Wa,2013,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,35
1FADP5CU2E,Wa,2014,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,28
1FADP5CU2F,Wa,2015,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,29
1FADP5CU2G,Wa,2016,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,28
1FADP5CU3D,Wa,2013,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,41
1FADP5CU3E,Wa,2014,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,25
1FADP5CU3F,Wa,2015,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,16
1FADP5CU3G,Wa,2016,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,25
1FADP5CU4D,Wa,2013,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,37
1FADP5CU4E,Wa,2014,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,22
1FADP5CU4F,Wa,2015,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,25
1FADP5CU4G,Wa,2016,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,35
1FADP5CU5D,Wa,2013,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,34
1FADP5CU5E,Wa,2014,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,30
1FADP5CU5F,Wa,2015,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,27
1FADP5CU5G,Wa,2016,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,33
1FADP5CU6D,Wa,2013,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,38
1FADP5CU6E,Wa,2014,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,24
1FADP5CU6F,Wa,2015,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,28
1FADP5CU6G,Wa,2016,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,33
1FADP5CU7D,Wa,2013,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,37
1FADP5CU7E,Wa,2014,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,26
1FADP5CU7F,Wa,2015,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,26
1FADP5CU7G,Wa,2016,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,27
1FADP5CU8D,Wa,2013,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,34
1FADP5CU8E,Wa,2014,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,22
1FADP5CU8F,Wa,2015,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,21
1FADP5CU8G,Wa,2016,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,30
1FADP5CU9D,Wa,2013,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,31
1FADP5CU9E,Wa,2014,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,22
1FADP5CU9F,Wa,2015,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,28
1FADP5CU9G,Wa,2016,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,28
1FADP5CUXD,Wa,2013,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,35
1FADP5CUXE,Wa,2014,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,28
1FADP5CUXF,Wa,2015,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,31
1FADP5CUXG,Wa,2016,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,19,0,26
1FADP5EU0H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,16
1FADP5EU1H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,14
1FADP5EU2H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,20
1FADP5EU3H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,15
1FADP5EU4H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,21
1FADP5EU5H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,16
1FADP5EU6H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,19
1FADP5EU7H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,18
1FADP5EU8H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,17
1FADP5EU9H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,10
1FADP5EUXH,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,11
1FADP5FU0H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,10
1FADP5FU1H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,14
1FADP5FU2H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,8
1FADP5FU3H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,12
1FADP5FU4H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,12
1FADP5FU5H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,6
1FADP5FU6H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,5
1FADP5FU7H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,8
1FADP5FU8H,Wa,2017,Ford,C-max,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,20,0,8
